DEPT,GR
959.0,113.8774
960.0,115.7437
961.0,109.1907
962.0,99.3728
963.0,96.7924
964.0,106.6043
965.0,100.1064
966.0,101.698
967.0,108.8272
968.0,103.2564
969.0,102.1526
970.0,103.1417
971.0,102.4974
972.0,104.9595
973.0,102.868
974.0,105.8121
975.0,108.8283
976.0,122.2622
977.0,119.6772
978.0,113.5539
979.0,117.5639
980.0,113.7159
981.0,113.8179
982.0,106.8702
983.0,109.6327
984.0,116.1799
985.0,123.4657
986.0,110.946
987.0,123.7014
988.0,115.3469
989.0,110.5697
990.0,116.9907
991.0,115.5666
992.0,109.5569
993.0,107.284
994.0,112.6303
995.0,114.6824
996.0,108.2969
997.0,105.6942
998.0,112.1753
999.0,119.9169
1000.0,116.3424
1001.0,108.1351
1002.0,118.0656
1003.0,119.148
1004.0,118.3996
1005.0,111.3941
1006.0,108.0048
1007.0,110.6345
1008.0,113.1994
1009.0,113.0369
1010.0,117.8109
1011.0,108.8954
1012.0,115.9042
1013.0,111.4511
1014.0,104.4612
1015.0,113.5128
1016.0,105.3558
1017.0,110.3407
1018.0,111.3247
1019.0,108.1909
1020.0,110.9113
1021.0,114.3897
1022.0,114.0232
1023.0,110.5177
1024.0,99.6463
1025.0,97.0049
1026.0,99.402
1027.0,96.9766
1028.0,106.4062
1029.0,101.9049
1030.0,105.7538
1031.0,109.6474
1032.0,97.3803
1033.0,107.6228
1034.0,98.5888
1035.0,100.3465
1036.0,100.8412
1037.0,101.8755
1038.0,97.2939
1039.0,88.5657
1040.0,99.3788
1041.0,97.992
1042.0,99.6493
1043.0,93.7673
1044.0,92.2763
1045.0,91.3871
1046.0,95.8521
1047.0,101.985
1048.0,93.2395
1049.0,95.3623
1050.0,87.859
1051.0,94.5903
1052.0,102.0726
1053.0,102.5218
1054.0,107.4562
1055.0,107.1948
1056.0,104.186
1057.0,95.2366
1058.0,93.4092
1059.0,93.0681
1060.0,89.6616
1061.0,96.9932
1062.0,97.0569
1063.0,103.3574
1064.0,107.8742
1065.0,102.5813
1066.0,103.6094
1067.0,97.1988
1068.0,98.5249
1069.0,100.0783
1070.0,95.3495
1071.0,91.3871
1072.0,92.533
1073.0,94.4675
1074.0,94.9433
1075.0,96.5099
1076.0,90.4584
1077.0,94.443
1078.0,97.201
1079.0,99.3775
1080.0,95.0134
1081.0,96.2402
1082.0,104.203
1083.0,110.5756
1084.0,102.6591
1085.0,101.5795
1086.0,99.2267
1087.0,97.9396
1088.0,99.1136
1089.0,101.8521
1090.0,94.6259
1091.0,99.9059
1092.0,91.9722
1093.0,91.4467
1094.0,94.7911
1095.0,101.4054
1096.0,103.7836
1097.0,90.2243
1098.0,96.0991
1099.0,104.757
1100.0,94.6216
1101.0,96.3
1102.0,98.3448
1103.0,91.7984
1104.0,94.2669
1105.0,99.2819
1106.0,94.648
1107.0,88.8735
1108.0,88.0223
1109.0,98.2455
1110.0,95.2964
1111.0,91.6818
1112.0,89.7423
1113.0,97.0831
1114.0,90.5038
1115.0,91.2994
1116.0,96.6394
1117.0,94.0901
1118.0,105.068
1119.0,95.4409
1120.0,94.925
1121.0,93.2483
1122.0,98.4931
1123.0,97.5565
1124.0,101.1626
1125.0,96.534
1126.0,92.6287
1127.0,94.4201
1128.0,90.4601
1129.0,97.4092
1130.0,97.465
1131.0,93.4438
1132.0,89.4581
1133.0,94.9223
1134.0,90.6839
1135.0,92.234
1136.0,95.4128
1137.0,109.5987
1138.0,112.6168
1139.0,98.4673
1140.0,99.006
1141.0,104.9999
1142.0,100.5379
1143.0,99.2566
1144.0,102.4585
1145.0,98.2624
1146.0,91.6194
1147.0,96.8808
1148.0,101.4559
1149.0,103.2016
1150.0,98.379
1151.0,98.9372
1152.0,89.742
1153.0,88.2141
1154.0,96.7303
1155.0,99.1431
1156.0,91.7969
1157.0,89.2244
1158.0,98.1276
1159.0,94.5321
1160.0,95.7888
1161.0,96.2057
1162.0,100.6031
1163.0,98.4078
1164.0,97.082
1165.0,101.9344
1166.0,97.4237
1167.0,94.3841
1168.0,94.4979
1169.0,92.2691
1170.0,91.2385
1171.0,98.7024
1172.0,97.1536
1173.0,99.402
1174.0,98.76
1175.0,96.9103
1176.0,100.048
1177.0,97.7628
1178.0,91.8553
1179.0,90.8693
1180.0,90.1357
1181.0,91.6331
1182.0,100.0231
1183.0,106.4577
1184.0,97.3763
1185.0,94.2753
1186.0,101.0872
1187.0,103.777
1188.0,101.0819
1189.0,95.3192
1190.0,105.5476
1191.0,96.1749
1192.0,95.771
1193.0,105.2758
1194.0,101.7275
1195.0,102.9849
1196.0,102.5513
1197.0,104.4674
1198.0,103.7923
1199.0,110.9077
1200.0,99.7023
1201.0,101.3076
1202.0,96.7053
1203.0,105.231
1204.0,104.9533
1205.0,111.5676
1206.0,104.6005
1207.0,95.4128
1208.0,100.3773
1209.0,99.2116
1210.0,98.3892
1211.0,100.7885
1212.0,104.3905
1213.0,94.8247
1214.0,98.034
1215.0,101.031
1216.0,104.7678
1217.0,103.5792
1218.0,98.2246
1219.0,98.908
1220.0,103.2478
1221.0,100.9862
1222.0,100.8167
1223.0,102.4243
1224.0,102.2559
1225.0,99.9943
1226.0,101.7583
1227.0,102.8096
1228.0,111.1852
1229.0,109.9732
1230.0,111.0012
1231.0,102.3463
1232.0,93.9384
1233.0,104.4386
1234.0,103.9172
1235.0,93.6915
1236.0,100.1974
1237.0,103.9884
1238.0,108.8294
1239.0,95.2702
1240.0,92.9429
1241.0,99.6941
1242.0,101.1401
1243.0,104.4219
1244.0,98.6481
1245.0,92.1042
1246.0,94.0091
1247.0,94.0399
1248.0,98.1144
1249.0,103.9241
1250.0,107.6919
1251.0,104.3867
1252.0,101.7726
1253.0,110.6581
1254.0,108.6309
1255.0,102.8063
1256.0,102.1099
1257.0,104.7173
1258.0,105.4069
1259.0,100.818
1260.0,102.5193
1261.0,114.7697
1262.0,116.1223
1263.0,112.7326
1264.0,105.4873
1265.0,112.7899
1266.0,113.6123
1267.0,106.1342
1268.0,106.311
1269.0,109.5901
1270.0,109.306
1271.0,107.0191
1272.0,99.3503
1273.0,99.7867
1274.0,106.8859
1275.0,91.5947
1276.0,102.4347
1277.0,112.5324
1278.0,115.816
1279.0,114.1322
1280.0,108.7839
1281.0,108.1974
1282.0,104.5542
1283.0,94.796
1284.0,104.4312
1285.0,111.9978
1286.0,105.2522
1287.0,101.6766
1288.0,91.9524
1289.0,96.3504
1290.0,100.7525
1291.0,107.4864
1292.0,103.3422
1293.0,110.1496
1294.0,107.4767
1295.0,106.7229
1296.0,97.9617
1297.0,97.3811
1298.0,96.2292
1299.0,100.1783
1300.0,105.9432
1301.0,106.5173
1302.0,100.2234
1303.0,95.3525
1304.0,104.6849
1305.0,101.6686
1306.0,106.3975
1307.0,102.9568
1308.0,105.8677
1309.0,109.3355
1310.0,107.3891
1311.0,102.9612
1312.0,99.5911
1313.0,97.5808
1314.0,100.6406
1315.0,105.9499
1316.0,98.9369
1317.0,103.3442
1318.0,99.3414
1319.0,100.7893
1320.0,101.3538
1321.0,95.7999
1322.0,102.8427
1323.0,101.6075
1324.0,103.9316
1325.0,99.5845
1326.0,104.1431
1327.0,102.8492
1328.0,100.2067
1329.0,108.4183
1330.0,109.5425
1331.0,103.9816
1332.0,112.8321
1333.0,107.7791
1334.0,106.6371
1335.0,104.4632
1336.0,101.56
1337.0,103.8961
1338.0,104.314
